"USERID","FILENUMBER","MANAGER_ID","EMAIL_ADDRESS_HOME","EMAIL_ADDRESS_WORK","ADDRESS_HOME","ADDRESS_WORK","FIRST_NAME","LAST_NAME","CLASS","DEPARTMENT","JOBCODE","JOBTITLE","LOCATION","COST_CENTER_HIERARCHY","HIREDATE","FULLPARTTIME","TERMINATION_DATE","TEAM","DIVISION","POSTAL_CODE","COUNTRY","CITY","ON_LEAVE","LEGAL_MIDDLE_NAME","MIDDLE_NAME","WORKER_NAME","ORGANIZATION_NAME","CONTRACT_END_DATE","ADDRESS_LINE_1","STATE","LAST_DAY_OF_WORK","COST_CENTER_REFERENCE_ID","ADDITIONAL_EMAIL_ADDRESS_HOME","ADDITIONAL_EMAIL_ADDRESS_WORK","COMPANY_NAME","EMPLOYEE_TYPE","COST_CENTER","FUTURE_DATE","FUTURE_ACTION","WORK_MOBILE","WORK_TELEPHONE","HOME_MOBILE","HOME_TELEPHONE"
"21115","21115","23440","jwestbrook@workday.net","jwestbrook@workday.net","42 Warren Avenue;Address 2 effective from 21;Boston, MA 02116;United States of America","545 Tremont Street;Boston, MA 02116;United States of America","Jon","Westbrook","Facilities Administrator, BostonPart_timeRegular","34000  Facilities","38410","Facilities Administrator, Boston","Boston","Facilities","1/1/2000","Facilities Administrator, Boston Part_time","","","","02116","USA","Boston","","","","Jon Westbrook","","","545 Tremont Street","USA-MA","","34000","jwestbrook@workday.net","jwestbrook@workday.net","Global Modern Services, Inc. (USA)","Regular","Facilities","","","","","",""
"","23015","23440","Sliced.Bread@medtronic.com","Sliced.Bread@medtronic.com","Street Big;New New York, NY 10001;United States of America","1155 Avenue of the Americas;New York, NY 10036;United States of America","Sliced","Bread","System AdministratorFull_timeRegular","","39200","System Administrator","New York","","11/1/2022","System Administrator Full_time","","","","10036","USA","New York","0","","","Sliced2 Bread2","","","1155 Avenue of the Americas","USA-NY","","","Sliced.Bread@medtronic.com","Sliced.Bread@medtronic.com","","Regular","","","","+1  blue","","+1  180000000",""
"","23021","23440","wheat.bread@invalid.xom","wheat.bread@invalid.xom","Street 1;PPID0001 Amsterdam;Netherlands","Keizersgracht 62;1015 NI Amsterdam North Holland;Netherlands","Wheat","Bread","Senior Financial AnalystFull_timeRegular","","37120","Senior Financial Analyst","Amsterdam","","11/4/2022","Senior Financial Analyst Full_time","","","","1015 NI","NLD","Amsterdam","","","","Wheat Bread","","","Keizersgracht","NLD-NH","","","wheat.bread@invalid.xom","wheat.bread@invalid.xom","","Regular","","","","","","",""
"23028","23028","23440","Marcus.Sampson@medtronic.com","Marcus.Sampson@medtronic.com","","200 East Randolph Street;Chicago, IL 60605;United States of America","Marcus","Sampson","Manager, Accounts PayableFull_timeRegular","","35110","Manager, Accounts Payable","Chicago","","11/9/2022","Manager, Accounts Payable Full_time","","","","60605","USA","Chicago","","","","Marcus Sampson","","","200 East Randolph Street","USA-IL","","","Marcus.Sampson@medtronic.com","Marcus.Sampson@medtronic.com","Green Planet Solutions, Inc. (USA)","Contractor","","","","","","",""
"","23029","23440","William.Stevens@medtronic.com","William.Stevens@medtronic.com","123 Fake St.;Chicago, IL 60652;United States of America","200 East Randolph Street;Chicago, IL 60605;United States of America","William","Stevens","Manager, Accounts PayableFull_timeRegular","","35110","Manager, Accounts Payable","Chicago","","11/9/2022","Manager, Accounts Payable Full_time","","","","60605","USA","Chicago","","","","William Stevens","","","200 East Randolph Street","USA-IL","","","William.Stevens@medtronic.com","William.Stevens@medtronic.com","","Contractor","","","","","","",""
"","23031","23440","Daniel.Thomas@medtronic.com","Daniel.Thomas@medtronic.com","","200 East Randolph Street;Chicago, IL 60605;United States of America","Daniel","Thomas","Manager, Accounts PayableFull_timeRegular","","35110","Manager, Accounts Payable","Chicago","","11/9/2022","Manager, Accounts Payable Full_time","","","","60605","USA","Chicago","","","","Daniel Thomas","","","200 East Randolph Street","USA-IL","","","Daniel.Thomas@medtronic.com","Daniel.Thomas@medtronic.com","","Regular","","","","","","+1 (770) 3660224",""
"TestNGFuture5","23050","23440","TestNGFuture5@TestNGFuture5.com","TestNGFuture5@TestNGFuture5.com","","200 East Randolph Street;Chicago, IL 60605;United States of America","TestNGFuture5","TestNGFuture5","Manager, Accounts PayableFull_timeRegular","","35110","Manager, Accounts Payable","Chicago","","8/3/2023","Manager, Accounts Payable Full_time","","","","60605","USA","Chicago","","","","TestNGFuture5 TestNGFuture5","","","200 East Randolph Street","USA-IL","","","TestNGFuture5@TestNGFuture5.com","TestNGFuture5@TestNGFuture5.com","","Contractor","","","","","","",""
"23053","23053","23440","Janet.Weis@medtronic.com","Janet.Weis@medtronic.com","","17001 Vegas Drive;Las Vegas, NV 89106;United States of America","Janet","Weis","Business AnalystFull_timeRegular","","37130","Business Analyst","Las Vegas","","12/6/2022","Business Analyst Full_time","","","","89106","USA","Las Vegas","","","","Janet Weis","","","17001 Vegas Drive","USA-NV","","","Janet.Weis@medtronic.com","Janet.Weis@medtronic.com","","Regular","","","","","","",""
"23056","23056","23440","Walter.Garland@medtronic.com","Walter.Garland@medtronic.com","","200 East Randolph Street;Chicago, IL 60605;United States of America","Walter","Garland","Business AnalystFull_timeRegular","","37130","Business Analyst","Chicago","","12/7/2022","Business Analyst Full_time","","","","60605","USA","Chicago","","","","Walter Garland","","","200 East Randolph Street","USA-IL","","","Walter.Garland@medtronic.com","Walter.Garland@medtronic.com","","Regular","","","","","","",""
"","23098","23440","aki.kaurismaki@globalblue.fi","aki.kaurismaki@globalblue.fi","","Kägelhamnen 3;02150 Espoo;Finland","Aki","Kaurismäki","Business AnalystFull_timeRegular","","37130","Business Analyst","Helsinki","","2/1/2023","Business Analyst Full_time","","","","02150","FIN","","","Olavi","Olavi","Aki Kaurismäki","","","Kägelhamnen 3","FIN-18","","","aki.kaurismaki@globalblue.fi","aki.kaurismaki@globalblue.fi","","Regular","","","","+358  123456789","","",""
